Company,Role,Country,Location,Area,Status,Deadline,Link,Last Checked
Apple,"Applied Data Solutions Program, Internships — Summer 2027",USA,"Cupertino, CA / Austin, TX",Data Science; Applied ML; Generative AI,Open,Not listed,https://jobs.apple.com/en-us/details/200673612-0836/applied-data-solutions-program-internships-summer-2027?team=STDNT,2026-09-17
Apple,Machine Learning and Artificial Intelligence Undergrad Internships,USA,Various US locations,ML Research; Multimodal; Reinforcement Learning; Generative AI,Open,Not listed,https://jobs.apple.com/en-us/details/200664780-3810/machine-learning-and-artificial-intelligence-undergrad-internships,2026-09-17
Persona AI,"Autonomy Software Engineering Internship, World Modeling",USA,"Houston, TX",World Model; Embodied AI; Robotics; Multimodal,Open,Not listed,https://jobs.ashbyhq.com/persona.ai/fd514a3f-4138-48d5-9862-05ff74a4ca08,2026-09-17
Pika,Research Intern (BS/MS/PhD),USA,"Palo Alto, CA",Multimodal; Video Generation; Generative AI; ML Research,Open,Not listed,https://jobs.ashbyhq.com/pika/e135acb1-2a0b-47b4-81b2-3cb0f787657a,2026-09-17
Tesla,"Physics Engine Development Engineer Intern, Optimus (Summer 2027)",USA,"Palo Alto, CA",Embodied AI; Robotics; Simulation; World Model-adjacent,Open,Not listed,https://www.tesla.com/careers/search/job/internship-physics-engine-development-engineer-optimus-summer-2027-282147,2026-09-17
TikTok,Data Scientist Intern (VOD Data) — 2027 Summer,USA,"San Jose, CA",Data Science; Experimentation; Applied ML,Open,2026-12-09,https://lifeattiktok.com/search/7670287013157095733,2026-09-17
Walmart,Summer 2027 Intern — Data Science III,USA,"Bentonville, AR",Data Science; Applied ML; Analytics,Open,Not listed,https://careers.walmart.com/us/en/jobs/R-2630030,2026-09-17
Alibaba / Alibaba Star,Multimodal World Model RL Research & Application — 2027 Internship target,China,Hangzhou / Beijing,World Model; Multimodal; Reinforcement Learning; Foundation Models,Watch,TBD,https://campus-talent.alibaba.com/campus/alistar,2026-09-17
Alibaba / Alibaba Star,World Model Research / Visual Algorithms — 2027 Internship target,China,Hangzhou / Beijing,World Model; Multimodal; Video Generation; Generative AI,Watch,TBD,https://campus-talent.alibaba.com/campus/alistar,2026-09-17
Tencent,2027 Internship — AI Algorithm / Multimodal / ML target,China,Beijing / Shanghai / Shenzhen / other China,Multimodal; Machine Learning; AI Algorithms; Data Science,Watch,TBD,https://join.qq.com/,2026-09-17
XPeng,World Model / VLA / VLM Research Internship target,China,Beijing / Shanghai / Shenzhen / Guangzhou,World Model; VLA; VLM; Embodied AI; Reinforcement Learning,Watch,TBD,https://xiaopeng.jobs.feishu.cn/campus,2026-09-17
Google,"Student Researcher, BS/MS — US Summer 2027",USA,United States / team-dependent,Student Researcher; ML Research; Multimodal; World Model,Watch,TBD,https://www.google.com/about/careers/applications/jobs/results/?q=Student%20Researcher&location=United%20States,2026-09-17
OpenAI,Emerging Talent Internship — Research / Applied AI target,USA,"San Francisco, CA",ML Research; Applied AI; Reinforcement Learning; Foundation Models,Watch,TBD,https://openai.com/careers/emerging-talent/,2026-09-17
Tesla,"RL Engineer / AI Engineer, Optimus — Summer 2027 target",USA,"Palo Alto, CA",Reinforcement Learning; Embodied AI; World Model; Robotics,Watch,TBD,https://www.tesla.com/careers/search/,2026-09-17
Waymo,ML / Perception / Simulation Research Internship — Summer 2027 target,USA,"Bay Area, CA",Autonomous Systems; ML Research; Simulation; World Model-adjacent,Watch,TBD,https://waymo.com/careers/,2026-09-17
Zoox,Machine Learning / VLM / Autonomy Internship — Summer 2027 target,USA,"Foster City, CA",Multimodal; VLM; Autonomous Systems; ML Engineering,Watch,TBD,https://zoox.com/careers/,2026-09-17
