Company,Role,Country,Location,Track,Degree,Status,Deadline,Link,Source,Last Checked
NVIDIA,2027 Internships — PhD Research Robotics,United States,"Santa Clara, CA",Robotics · VLA · Foundation Models · RL · World Understanding,PhD,Open,Rolling,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/NVIDIA-2027-Internships--PhD-Research-Robotics_JR2023847,Official,2026-09-18
NVIDIA,2027 Internships — PhD Research Autonomous Vehicles,United States,"Santa Clara, CA",World Models · Behavior Modeling · Multimodal · Autonomy,PhD,Open,Rolling,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/NVIDIA-2027-Internships--PhD-Research-Autonomous-Vehicles_JR2023838,Official,2026-09-18
NVIDIA,2027 Internships — Deep Learning,United States,"Santa Clara, CA",Deep Learning · ML Systems · Computer Vision,BS/MS/PhD,Open,Rolling,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/NVIDIA-2027-Internships--Deep-Learning_JR2023497-1,Official,2026-09-18
NVIDIA,"PhD Research Intern — Autonomous Systems & Physical AI Research, 2027",United States,"Santa Clara, CA",Physical AI · Robotics · Autonomous Systems · RL,PhD,Open,Rolling / verify posting,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/PhD-Research-Intern--Autonomous-Systems-and-Physical-AI-Research---2027_JR2024171,Official,2026-09-18
Persona AI,Autonomy Software Engineering Internship — World Modeling,United States,"Houston, TX",World Models · Humanoid Robotics · Physical AI · Synthetic Data,Student,Open,Rolling; closes when filled,https://jobs.ashbyhq.com/persona.ai/fd514a3f-4138-48d5-9862-05ff74a4ca08,Official,2026-09-18
Pika,Research Intern — Video Generation (BS/MS/PhD),United States,"Palo Alto, CA",Video Generation · Multimodal · Generative AI,BS/MS/PhD,Open,Rolling,https://jobs.ashbyhq.com/pika/e135acb1-2a0b-47b4-81b2-3cb0f787657a,Official,2026-09-18
Pika,Research Intern — Multimodal Foundation Models (BS/MS/PhD),United States,"Palo Alto, CA",Multimodal · Foundation Models · MLLM,BS/MS/PhD,Open,Rolling,https://jobs.ashbyhq.com/pika/6c9ba89d-91f3-4cf1-a318-70783773323a,Official,2026-09-18
Physical Intelligence,Research Internships,United States,"San Francisco, CA",Robot Learning · Foundation Models · Embodied AI,Student,Open,Rolling,https://jobs.ashbyhq.com/physicalintelligence/f020ff1a-4b4c-4415-8434-2da5010a7076,Official,2026-09-18
Phonic,Machine Learning Research Intern 2027,United States,"San Francisco, CA",ML Research · Speech/Audio · Generative Models,Student,Open,Rolling,https://jobs.ashbyhq.com/phonic/a6c8c3d2-250a-4c2f-8a20-e4667ca38e41/,Official,2026-09-18
Tesla,"Physics Engine Development Engineer Intern — Optimus, Summer 2027",United States,"Palo Alto, CA",Humanoid Robotics · Simulation · Physical AI,Student,Open,Not listed,https://www.tesla.com/careers/search/job/internship-physics-engine-development-engineer-optimus-summer-2027-282147,Official,2026-09-18
Waymo,"2027 Summer Intern — Machine Learning, Computer Vision",United States,"Bay Area, CA",ML Research · Computer Vision · Autonomous Driving,PhD,Open,Rolling / until filled,https://waymo.com/joinus/,Official,2026-09-18
Waymo,"2027 Summer Intern — Machine Learning, Simulator Evaluation",United States,"Bay Area, CA",ML · Simulation · Autonomous Systems,MS/PhD,Open,Rolling / until filled,https://waymo.com/joinus/,Official,2026-09-18
Waymo,2027 Summer Intern — Scenes,United States,"Bay Area, CA",Computer Vision · Scene Understanding · ML,BS/MS,Open,Rolling / until filled,https://waymo.com/joinus/,Official,2026-09-18
Waymo,2027 Summer Intern — Vehicle Intent & Prediction,United States,"Bay Area, CA",Prediction · Behavior Modeling · ML,PhD,Open,Rolling / until filled,https://waymo.com/joinus/,Official,2026-09-18
Waymo,"2027 Summer Intern — Data Science, Commercialization Testing",United States,"Bay Area, CA",Data Science · Experimentation · Autonomous Driving,MS/PhD,Open,Rolling / until filled,https://waymo.com/joinus/,Official,2026-09-18
Adobe,2027 Intern — Machine Learning Engineer,United States,San Jose / San Francisco / Seattle / Austin / other,ML Engineering · Generative AI · Applied ML,Student,Open,2027-06-11,https://careers.adobe.com/us/en/search-results?keywords=2027%20Intern%20Machine%20Learning%20Engineer,Official,2026-09-18
TikTok,Data Scientist Intern (VOD Data) — 2027 Summer,United States,"San Jose, CA",Data Science · Experimentation · Applied ML,Student,Open,2026-12-09,https://lifeattiktok.com/search/7670287013157095733,Official,2026-09-18
Walmart,Summer 2027 Intern — Data Science III,United States,"Bentonville, AR",Data Science · Applied ML · Analytics,Student,Open,Not listed,https://careers.walmart.com/us/en/jobs/R-2630030,Official,2026-09-18
Microsoft Research / Microsoft AI,Summer 2027 Research / Applied Science Internships,United States,US — team dependent,ML Research · Foundation Models · Agents,TBD,Watch,TBD,https://jobs.careers.microsoft.com/global/en/search?q=intern%20artificial%20intelligence,Official,2026-09-18
Meta FAIR / GenAI,2027 Research Scientist Intern / ML Research Intern,United States,US — team dependent,ML Research · Multimodal · Generative AI,TBD,Watch,TBD,https://www.metacareers.com/jobs/,Official,2026-09-18
OpenAI,2027 Research / Applied AI Internship,United States,"San Francisco, CA",Foundation Models · RL · Applied AI,TBD,Watch,TBD,https://openai.com/careers/,Official,2026-09-18
Anthropic,2027 Research / ML Internship,United States,"San Francisco, CA",Foundation Models · Alignment · ML Research,TBD,Watch,TBD,https://www.anthropic.com/careers/jobs,Official,2026-09-18
World Labs,World Models / Spatial Intelligence Research Internship,United States,"San Francisco, CA",World Models · 3D · Spatial Intelligence,TBD,Watch,TBD,https://www.worldlabs.ai/careers,Official,2026-09-18
Zoox,2027 ML / VLM / Autonomy Internship,United States,"Foster City, CA",Autonomy · Multimodal · ML,TBD,Watch,TBD,https://zoox.com/careers/,Official,2026-09-18
Figure AI,2027 AI / Robot Learning Internship,United States,"Sunnyvale, CA",Humanoid Robotics · VLA · Robot Learning,TBD,Watch,TBD,https://www.figure.ai/careers,Official,2026-09-18
Skild AI,2027 Robot Learning / Foundation Model Internship,United States,Pittsburgh / Bay Area,Robot Foundation Models · Embodied AI,TBD,Watch,TBD,https://www.skild.ai/careers,Official,2026-09-18
Runway,2027 Research Internship — Video / Multimodal,United States,New York / San Francisco,Video Generation · Multimodal · Generative AI,TBD,Watch,TBD,https://runwayml.com/careers/,Official,2026-09-18
Scale AI,2027 ML Research / Research Engineer Internship,United States,San Francisco / New York,ML Research · Data · Foundation Models,TBD,Watch,TBD,https://scale.com/careers,Official,2026-09-18
Microsoft Research Asia,Research Intern — Visual Computing Group,China,Beijing / Shanghai,Multimodal · Foundation Models · Visual Generation · AI Agents,BS/MS/PhD,Open,Not listed,https://www.microsoft.com/en-us/research/opportunity/research-intern-for-visual-computing-group-microsoft-research/,Official,2026-09-18
Microsoft Research Asia,MSRA AI Forward Deployed Intern — Accelerator Team,China,Beijing,Applied AI · Agents · Research-to-Product,Student,Open,Not listed,https://www.microsoft.com/en-us/research/lab/microsoft-research-asia-zh-cn/opportunities/?lang=zh-cn,Official,2026-09-18
Baidu,大模型算法实习生 — 基础模型研发部 (J99230),China,Beijing / Shenzhen,Foundation Models · Multimodal · ML Research,BS/MS/PhD,Open,Not listed,https://talent.baidu.com/jobs/detail/INTERN/f8a467f0-2a4a-4238-a21c-412408f85c2e,Official,2026-09-18
Baidu,视觉先锋 — 多模态理解&生成大模型算法实习生计划 (J86894),China,Beijing / Shanghai / Shenzhen,Multimodal · Video/Image Generation · 3D,BS/MS/PhD,Open,Not listed,https://talent.baidu.com/jobs/detail/INTERN/ca1e873a-f3e5-4227-befd-5b408965a610,Official,2026-09-18
Baidu,大模型算法实习生 — 百度研究院 (J95515),China,Beijing,LLM · Agents · Multimodal · ML Research,BS/MS/PhD,Open,Not listed,https://talent.baidu.com/jobs/detail/INTERN/f4f00de1-f5a6-494d-b8e1-943ce9d94905,Official,2026-09-18
Baidu,大模型算法实习生 (J93941),China,Beijing,LLM · Alignment · Agents · RL,BS/MS/PhD,Open,Not listed,https://talent.baidu.com/jobs/detail/INTERN/f7141fef-2692-4eee-ac31-cc7b5f473ccf,Official,2026-09-18
Baidu,数字人&多模态生成算法实习生 (J96195),China,Beijing / Shanghai / Shenzhen,Multimodal · Generative AI · Digital Humans,BS/MS/PhD,Open,Not listed,https://talent.baidu.com/jobs/detail/INTERN/7dc95e23-36ba-4b6c-ba43-66949ac17e39,Official,2026-09-18
Baidu,AIGC算法实习生 — 多模态理解方向 (J98723),China,Beijing,Multimodal · AIGC · RL · Alignment,BS/MS/PhD,Open,Not listed,https://talent.baidu.com/jobs/detail/INTERN/423331b1-ca12-4c53-985b-23db0fc7d363,Official,2026-09-18
Baidu,多模态算法实习生 (J99677),China,Beijing,Video Generation · Diffusion · Digital Humans,BS/MS/PhD,Open,Not listed,https://talent.baidu.com/jobs/detail/INTERN/55018877-6dd3-4e58-881b-d4b4123ce51b,Official,2026-09-18
Baidu,多模态大模型算法实习生 (J105847),China,Beijing,Multimodal · Agent · RAG · Post-training,BS/MS/PhD,Open,Not listed,https://talent.baidu.com/jobs/list?recommendCode=IS3R30&recruitType=INTERN,Official,2026-09-18
ByteDance / Seed,多模态世界模型算法实习生 — Seed,China,Beijing / Shanghai / Shenzhen,World Models · Multimodal · Foundation Models,BS/MS/PhD,Open,Not listed,https://jobs.bytedance.com/campus/position/7215563256558537018/detail,Official,2026-09-18
ByteDance / Seed,多模态世界模型评测算法实习生 — Seed,China,China — team dependent,World Models · Evaluation · Multimodal Agents,BS/MS/PhD,Open,Not listed,https://jobs.bytedance.com/campus/position/7478553035003398408/detail,Official,2026-09-18
ByteDance / Seed,多模态大模型算法研究实习生 — Seed,China,China — team dependent,Multimodal · MLLM · ML Research,BS/MS/PhD,Open,Not listed,https://jobs.bytedance.com/campus/position/7519832033632553223/detail,Official,2026-09-18
ByteDance / Seed,多模态大模型算法实习生 — 豆包大模型,China,China — team dependent,Multimodal · Foundation Models · AIGC,BS/MS/PhD,Open,Not listed,https://jobs.bytedance.com/campus/position/7369517076358121754/detail,Official,2026-09-18
NVIDIA,"AI Developer Technology Intern — Robotics, 2027",China,Shanghai / Beijing,Robotics Foundation Models · VLA · Physical AI,Student,Open,Rolling,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/China-Shanghai/AI-Developer-Technology-Intern--Robotics---2027_JR2024054-1,Official,2026-09-18
NVIDIA,AI Developer Technology Engineering Intern — 2027,China,Beijing / Shanghai / Shenzhen,AI · Deep Learning · GPU · Robotics,Student,Open,Rolling,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/AI-Developer-Technology-Engineering-Intern---2027_JR2024818,Official,2026-09-18
Huawei,2027 Internship Program — ICT BG,China,Multiple China locations,AI Systems · Foundation Models · Computing,Student,Open,Program open,https://career.huawei.com/cn/department-list,Official,2026-09-18
Huawei,Terminal BG — AI Internship Special Program,China,Multiple China locations,AI · Multimodal · On-device AI · Intelligent Devices,Student,Open,Year-round,https://career.huawei.com/cn/department-list,Official,2026-09-18
Huawei Cloud,2027 AI Internship Special Program,China,Multiple China locations,Foundation Models · Agents · Cloud AI · Applied ML,Student,Open,Program open,https://career.huawei.com/cn/department-list,Official,2026-09-18
Momenta,世界模型算法实习生 (Mstar),China,Shanghai / Beijing / Suzhou / other,World Models · Physical AI · VLA · Video Generation,MS/PhD,Open,2026-10-30 (reported),https://momenta.jobs.feishu.cn/s/THvJ8zNvEvE,Official program / deadline cross-checked,2026-09-18
Momenta,端到端决策规划算法实习生 (Mstar),China,Beijing,End-to-End Driving · RL · Distillation · Planning,MS/PhD,Open,2026-10-28 (reported),https://momenta.jobs.feishu.cn/s/THvJ8zNvEvE,Official program / deadline cross-checked,2026-09-18
Momenta,端到端大模型算法实习生 (Mstar),China,Beijing,VLM · End-to-End Driving · World Model,MS/PhD,Open,Rolling / check program,https://momenta.jobs.feishu.cn/s/THvJ8zNvEvE,Official,2026-09-18
Momenta,训练推理优化实习生 (Mstar),China,Beijing,ML Systems · Distributed Training · RL Infrastructure,MS/PhD,Open,2026-10-01 (reported),https://momenta.jobs.feishu.cn/s/THvJ8zNvEvE,Official program / deadline cross-checked,2026-09-18
Xiaomi,顶尖实习生项目 — AI / Multimodal / Embodied Intelligence,China,China — team dependent,Multimodal · Generative AI · Embodied AI · Autonomous Driving,BS/MS/PhD,Open,Not listed,https://hr.xiaomi.com/website/top-talent.html,Official,2026-09-18
Meituan,北斗计划 — 实习职位,China,China — team dependent,Multimodal · Foundation Models · Autonomous Driving · Robotics,Student,Open,Year-round / role dependent,https://job.meituan.com/web/beidouprogram,Official,2026-09-18
Meituan / LongCat,LongCat Research Internship — Agent / Multimodal / RL,China,China — team dependent,Agents · Multimodal · RL · Foundation Models,Student,Open,Role dependent,https://job.meituan.com/,Official,2026-09-18
Alibaba / Qwen / Alibaba Star,2027 Internship — Multimodal / World Models / RL,China,Hangzhou / Beijing / Shanghai,Multimodal · World Models · Foundation Models,TBD,Watch,TBD,https://campus-talent.alibaba.com/,Official,2026-09-18
Tencent,2027 Internship — Hunyuan / Multimodal / ML Research,China,Shenzhen / Beijing / Shanghai,Multimodal · Foundation Models · ML Research,TBD,Watch,TBD,https://join.qq.com/,Official,2026-09-18
XPeng,2027 World Model / VLA / VLM Research Internship,China,Guangzhou / Beijing / Shanghai,World Models · VLA · VLM · Autonomous Driving,TBD,Watch,TBD,https://xiaopeng.jobs.feishu.cn/campus,Official,2026-09-18
NIO,2027 World Model / Autonomous Driving ML Internship,China,Shanghai / Beijing,World Models · Autonomous Driving · Multimodal,TBD,Watch,TBD,https://www.nio.com/careers,Official,2026-09-18
Shanghai AI Laboratory,World Model / Video Generation / Embodied AI Research Internship,China,Shanghai,World Models · Video Generation · Embodied AI,TBD,Watch,TBD,https://www.shlab.org.cn/,Official,2026-09-18
DeepSeek,Research / Algorithm Internship,China,Hangzhou / Beijing,Foundation Models · Reasoning · ML Research,TBD,Watch,TBD,https://www.deepseek.com/,Official,2026-09-18
Zhipu AI,2027 Multimodal / Foundation Model Research Internship,China,Beijing,Foundation Models · Multimodal · Agents,TBD,Watch,TBD,https://www.zhipuai.cn/,Official,2026-09-18
MiniMax,2027 Multimodal / Generative AI Research Internship,China,Shanghai / Beijing,Multimodal · Video/Audio · Foundation Models,TBD,Watch,TBD,https://www.minimaxi.com/,Official,2026-09-18
Moonshot AI,2027 Foundation Model / Multimodal Research Internship,China,Beijing,Foundation Models · Long Context · Multimodal,TBD,Watch,TBD,https://www.moonshot.cn/,Official,2026-09-18
SenseTime,2027 Multimodal / Generative AI Research Internship,China,Shanghai / Beijing,Computer Vision · Multimodal · Generative AI,TBD,Watch,TBD,https://www.sensetime.com/cn/careers,Official,2026-09-18
